Applicant ID,Application Date,First Name,Last Name,Gender,Date of Birth,Phone Number,Email,Address,City,State,Zip Code,Country,Education Level,Years of Experience,Desired Salary,Job Title,Status,Skills
1013,23-Jul-23,James,Bailey,Female,12-05-1983,(606)926-6770,fraziermichelle@example.net,4469 Holt Divide Suite 740,Hahnberg,AZ,61409,Guam,Master's Degree,12,86588.22,Manager,Offered,"['Strategic Planning', 'Budget Management', 'KPI Tracking', 'Leadership', 'Performance Reviews', 'Cross-functional Collaboration']"
1014,12-Jun-23,Heidi,Wood,Male,20-11-1965,(209)368-2818x1932,brentswanson@example.org,527 Jamie Viaduct,Christopherberg,CT,34112,Central African Republic,Bachelor's Degree,9,59082.57,Manager,Rejected,"['Leadership', 'Budget Management', 'Performance Reviews', 'Strategic Planning', 'Team Management']"
1015,04-Jul-23,Johnny,Nguyen,Other,23-11-1971,001-970-594-9559x42440,clarkdawn@example.net,621 Mitchell Glen Apt. 704,Leehaven,WV,82030,Kenya,Bachelor's Degree,2,91301.9,Research Director,Rejected,"['Innovation', 'Academic Publishing', 'Research Management', 'Ethics & Compliance']"
1016,26-Jul-23,Olivia,Watson,Female,09-08-1970,###############################################################################################################################################################################################################################################################,rachel98@example.com,3578 Warren Prairie Suite 287,North Ariel,NV,37858,Belize,Master's Degree,2,44515.4,Manager,Interviewing,"['Performance Reviews', 'Strategic Planning', 'KPI Tracking', 'Conflict Resolution', 'Budget Management']"
1017,16-May-23,Anita,Jenkins,Male,02-01-2004,409-660-9413,charles11@example.net,6505 Dawn Burg,Tonyville,DE,54454,Morocco,Master's Degree,20,72554.88,Research Scientist,In Review,"['Experiment Design', 'Literature Review', 'Microscopy', 'Data Analysis', 'Statistics', 'Machine Learning']"
1018,12-Jun-23,John,Coleman,Female,01-08-2005,332.925.0075x0800,smithashley@example.org,5227 William Groves Apt. 165,South Andrewport,HI,22242,Poland,Bachelor's Degree,20,52923.21,Manager,Offered,"['Project Management', 'KPI Tracking', 'Conflict Resolution', 'Budget Management', 'Team Management']"
1019,26-Jun-23,Adam,Best,Other,28-05-2001,(592)449-4498,joe34@example.net,599 Mccoy Estate Apt. 522,Lake Christianshire,ME,84388,Ukraine,PhD,12,47680.62,Laboratory Technician,Rejected,"['Lab Safety', 'Time Management', 'Standard Operating Procedures (SOP)', 'Chemical Handling']"
1020,23-May-23,Cheryl,Peterson,Male,18-09-1990,001-466-805-0058x769,corey49@example.net,331 James Springs,Gibbsburgh,MH,70864,Costa Rica,Bachelor's Degree,6,36560.41,Research Scientist,Interviewing,"['Lab Safety', 'Experiment Design', 'Scientific Writing', 'Data Analysis']"
1021,03-Jul-23,Rebecca,Jensen,Female,16-11-2002,573-612-6886x9739,jennifer31@example.com,96558 Robert Crest Suite 109,Kathleenfurt,IA,44432,Central African Republic,Master's Degree,15,91333.9,Manufacturing Director,Offered,"['Supply Chain Coordination', 'Workforce Scheduling', 'Compliance Management', 'Process Improvement']"
1022,03-Aug-23,Gabriel,Norris,Female,16-01-1975,+1-336-343-6187x705,gibbsjacob@example.net,156 Brandy Mountain,Port Andrewmouth,NJ,15235,United Arab Emirates,Master's Degree,17,35317.87,Human Resources,Rejected,"['Communication', 'Employee Engagement', 'Payroll Processing', 'Interviewing']"
1023,08-May-23,Anne,Murphy,Other,31-10-1983,853-255-8266x26434,kristinross@example.net,8136 Theresa Avenue Suite 172,East Natalie,IN,99861,Kyrgyz Republic,PhD,11,66953.69,Laboratory Technician,Rejected,"['Microscopy', 'Chemical Handling', 'Data Entry', 'Lab Safety']"
1024,25-Jun-23,Thomas,Phillips,Other,04-02-1965,(305)772-2998x02932,melvinzimmerman@example.org,5254 Murray Parkway Suite 484,Farrellland,ID,19021,Belgium,PhD,10,52499.44,Manager,Interviewing,"['Strategic Planning', 'Project Management', 'Budget Management', 'Cross-functional Collaboration', 'Performance Reviews']"
1025,31-May-23,Nicholas,Conley,Other,10-10-2001,600.967.3095,jameslucas@example.com,10514 Long Ports Apt. 727,Port Daniel,OR,83798,Micronesia,Master's Degree,15,44240.27,Sales Executive,Interviewing,"['Customer Acquisition', 'Negotiation', 'Cold Calling', 'Presentation Skills', 'Revenue Forecasting']"
1026,07-Jul-23,Jennifer,Austin,Other,03-02-2002,001-487-829-9532x746,prodriguez@example.com,1253 Monroe Rapid,North Benjaminfurt,AL,36583,Saint Kitts and Nevis,PhD,8,53070.82,Research Scientist,In Review,"['Lab Safety', 'Statistics', 'Data Analysis', 'Microscopy', 'Python', 'Literature Review']"
1027,22-Jun-23,Cory,Miller,Other,11-06-1996,427.370.2512x6194,sandraferrell@example.net,168 Chris Roads Suite 459,Harveyport,OH,8947,Norway,High School,15,75285.32,Healthcare Representative,Interviewing,"['CRM', 'Healthcare Knowledge', 'Emotional Intelligence', 'Time Management', 'Regulatory Compliance', 'Conflict Resolution']"
1028,01-Aug-23,Barbara,Lopez,Other,01-12-1966,###############################################################################################################################################################################################################################################################,lisalee@example.com,901 Erickson Burg,Port Christineborough,CA,76314,Iceland,PhD,19,57262.2,Healthcare Representative,Applied,"['Regulatory Compliance', 'Patient Communication', 'Time Management', 'Healthcare Knowledge', 'Emotional Intelligence', 'Customer Service']"
1029,15-Jun-23,Maria,Campbell,Male,06-12-1969,(960)528-9287x86849,juliecarter@example.net,4028 Victoria Trace Suite 510,Camachostad,KY,44349,Macao,Master's Degree,9,98369.62,Manufacturing Director,Interviewing,"['Workforce Scheduling', 'Inventory Planning', 'Budgeting', 'Six Sigma', 'Operations Management', 'Supply Chain Coordination']"
1030,06-Jul-23,Duane,Lee,Other,22-10-1989,001-266-415-6019x161,jgarrett@example.com,7528 Anderson Locks Suite 143,North Benjamin,NC,28070,Cape Verde,Bachelor's Degree,12,36106.12,Manager,Applied,"['KPI Tracking', 'Strategic Planning', 'Cross-functional Collaboration', 'Conflict Resolution', 'Team Management']"
1031,27-Jul-23,Danny,Jones,Male,14-08-1993,001-259-866-8517x64198,mhenderson@example.com,4322 Joseph Ports Apt. 157,South Johnburgh,IN,44276,Comoros,PhD,17,61638.6,Healthcare Representative,In Review,"['CRM', 'Regulatory Compliance', 'Patient Communication', 'Time Management', 'Conflict Resolution', 'Customer Service']"
1032,02-Jun-23,Hannah,Moore,Other,20-12-1963,294.389.4316x75007,debra21@example.net,6417 Yoder Summit Apt. 056,Mayoside,DE,94533,Tunisia,Master's Degree,10,58593.41,Manager,Offered,"['Conflict Resolution', 'Team Management', 'Leadership', 'Budget Management']"
1033,16-May-23,Mckenzie,Howe,Male,22-08-2002,230.888.7183,debra17@example.net,9645 Washington Throughway,Chandlerton,AR,19797,Burkina Faso,Bachelor's Degree,13,80345.63,Research Director,Applied,"['Ethics & Compliance', 'Grant Writing', 'Data Science', 'Academic Publishing', 'Strategic Planning', 'Machine Learning']"
1034,30-May-23,Ashley,Williams,Male,30-03-1976,+1-946-933-4961x681,pbarron@example.org,456 Martin Oval Apt. 117,Zavalabury,MN,16709,Bahrain,Bachelor's Degree,6,94817.47,Manager,Offered,"['Conflict Resolution', 'Cross-functional Collaboration', 'Budget Management', 'Leadership', 'Strategic Planning', 'Performance Reviews']"
1035,14-Jul-23,Laura,Randall,Male,08-09-1970,###############################################################################################################################################################################################################################################################,wallacemark@example.net,8884 Christopher Junctions,North Tammy,GU,98391,Anguilla,PhD,19,82854.39,Research Scientist,Applied,"['Literature Review', 'Lab Safety', 'Microscopy', 'Machine Learning', 'Experiment Design', 'Hypothesis Testing']"
1036,09-May-23,Katherine,Morris,Female,26-01-1979,(984)749-4059,matthewadams@example.net,90800 Michael Lodge,North Michael,DC,18588,Canada,High School,11,43831.75,Research Scientist,In Review,"['Microscopy', 'Lab Safety', 'Data Analysis', 'Literature Review', 'Experiment Design', 'Scientific Writing']"
1037,18-May-23,Martha,Bradford,Male,12-09-1980,(545)518-9685,kellysellers@example.net,1113 April Mountain Suite 431,Oliverhaven,NM,83371,Nauru,Bachelor's Degree,9,88074.11,Sales Executive,Interviewing,"['Revenue Forecasting', 'CRM Tools', 'Salesforce', 'Lead Scoring']"
1038,12-Jun-23,Jessica,Martinez,Other,04-09-1971,###############################################################################################################################################################################################################################################################,thomas12@example.org,699 Rodriguez Greens,Jamesville,ME,45059,United States Virgin Islands,PhD,16,49673.27,Manufacturing Director,Rejected,"['Six Sigma', 'Process Improvement', 'Budgeting', 'Lean Manufacturing']"
1039,22-Jun-23,Emily,Myers,Other,13-09-1993,+1-708-518-9313x498,jenniferreyes@example.org,814 Freeman Run,Lake Juan,IA,75775,Jordan,Bachelor's Degree,19,37991.23,Manager,Rejected,"['Cross-functional Collaboration', 'Leadership', 'Budget Management', 'Conflict Resolution', 'Performance Reviews', 'Strategic Planning']"
1040,03-Aug-23,Steven,Villa,Male,14-02-1993,###############################################################################################################################################################################################################################################################,joseph36@example.com,4222 Cooper Ports,West Marissafort,LA,41339,Ghana,Bachelor's Degree,14,75258.56,Manager,Interviewing,"['Team Management', 'Conflict Resolution', 'Cross-functional Collaboration', 'KPI Tracking']"
1041,18-Jul-23,David,Walker,Female,25-01-1968,364.385.3544x351,jessicaaguirre@example.org,079 Jane Crossing,Port Rickyfort,WI,24323,Cape Verde,PhD,0,56440.24,Sales Representative,Offered,"['Territory Management', 'Customer Service', 'Networking', 'Product Knowledge']"
1042,10-May-23,Timothy,Rodriguez,Female,30-06-1988,524.599.9460x10219,gloriacruz@example.com,19205 Burke Ports Suite 746,Whitebury,OK,35524,Niger,PhD,14,65868.72,Manager,Rejected,"['KPI Tracking', 'Conflict Resolution', 'Strategic Planning', 'Budget Management', 'Team Management']"
1043,21-Jun-23,Kevin,Lucas,Female,25-12-1973,(846)687-4365,robertthompson@example.com,4589 Brittany Grove Suite 096,Gomeztown,MH,21310,Antarctica (the territory South of 60 deg S),PhD,8,77256.91,Laboratory Technician,Offered,"['Standard Operating Procedures (SOP)', 'Lab Safety', 'Chemical Handling', 'Attention to Detail', 'Data Entry', 'Sample Analysis']"
1044,30-May-23,Sarah,Fischer,Other,20-11-1993,(859)447-7321,wjackson@example.com,9332 Kelley Mission,Donshire,PW,66350,Hong Kong,PhD,5,52012.21,Research Director,Applied,"['Team Leadership', 'Research Management', 'Innovation', 'Ethics & Compliance', 'Academic Publishing']"
1045,30-Jul-23,Joshua,Weeks,Other,27-05-1994,699-982-2807x65316,telliott@example.org,61766 David Skyway Suite 232,Gonzaleschester,PR,44532,Luxembourg,High School,19,87903.51,Manager,In Review,"['Project Management', 'Conflict Resolution', 'Cross-functional Collaboration', 'KPI Tracking', 'Budget Management', 'Team Management']"
1046,15-Jul-23,Nicholas,Jenkins,Female,24-12-1965,(225)352-3015x07397,lsmith@example.org,338 Evans Coves Suite 568,New Kenneth,MS,93369,Afghanistan,Bachelor's Degree,8,79162.92,Laboratory Technician,Applied,"['Data Entry', 'Sample Analysis', 'Equipment Handling', 'Attention to Detail', 'Time Management', 'Microscopy']"
1047,24-May-23,Jeremy,Stevens,Female,23-08-1994,###############################################################################################################################################################################################################################################################,taylormason@example.com,908 Vasquez Knolls,Kathleenview,AK,15637,Holy See (Vatican City State),High School,14,99015.22,Research Director,Rejected,"['Grant Writing', 'Team Leadership', 'Machine Learning', 'Strategic Planning', 'Academic Publishing', 'Ethics & Compliance']"
1048,28-Jul-23,Paul,Johnson,Male,31-07-1986,+1-352-506-4850x497,ppowell@example.org,508 Freeman Creek,Freemanbury,ND,53823,Monaco,PhD,7,50437.39,Human Resources,In Review,"['HR Policies', 'Performance Appraisal', 'Communication', 'Employee Engagement', 'Payroll Processing', 'Conflict Resolution']"
1049,04-Jul-23,Jerry,Hernandez,Other,07-04-1976,698-300-1600x23221,upeters@example.com,83202 Ingram Fields,Campbelltown,ME,45037,Marshall Islands,Master's Degree,4,86589.55,Healthcare Representative,Applied,"['Conflict Resolution', 'Time Management', 'Emotional Intelligence', 'Empathy']"
1050,09-Jun-23,Jason,Abbott,Male,30-04-1967,001-460-617-6814x7252,elizabethtaylor@example.net,1058 Mark Highway,Lake Maryland,NM,41461,Faroe Islands,High School,10,94813.46,Research Director,Interviewing,"['Team Leadership', 'Research Management', 'Machine Learning', 'Grant Writing', 'Academic Publishing']"
1051,06-Jul-23,Jeffrey,Sellers,Other,30-09-1980,237.531.7564x007,natasha30@example.net,205 Rice Track,Mcbridestad,GU,59610,Bouvet Island (Bouvetoya),High School,10,68968.39,Sales Representative,Offered,"['Communication', 'CRM', 'Upselling', 'Territory Management', 'Sales Presentations', 'Product Knowledge']"
1052,23-May-23,Daryl,Brown,Female,08-07-2003,(833)626-3286,bhill@example.com,05460 Laura Ford Apt. 015,Phillipstown,TN,61327,Niue,Bachelor's Degree,7,94839.96,Healthcare Representative,Applied,"['Emotional Intelligence', 'CRM', 'Patient Communication', 'Empathy']"
1053,04-Jun-23,Justin,Bush,Other,26-09-1975,356.930.7796,pricecarolyn@example.org,392 Daniel Parkways Suite 034,Jessicaview,WI,32426,San Marino,PhD,4,30451.54,Human Resources,Interviewing,"['Conflict Resolution', 'HR Policies', 'Recruitment', 'Payroll Processing', 'Communication']"
1054,28-May-23,Lisa,Jackson,Male,31-12-1986,+1-425-444-8670x07900,michaelcooper@example.net,80259 Dixon Prairie,Lake Robertberg,AZ,42440,Cuba,PhD,18,89697.68,Research Scientist,Applied,"['Machine Learning', 'Hypothesis Testing', 'Experiment Design', 'Data Analysis', 'Lab Safety']"
1055,23-Jul-23,Brad,Vang,Male,07-01-1990,707-602-9095,william40@example.net,7189 Timothy Corner Apt. 711,South Justin,GU,69265,Colombia,PhD,6,36962.77,Sales Representative,Offered,"['Customer Service', 'Time Management', 'Networking', 'Communication', 'Sales Presentations', 'Product Knowledge']"
1056,22-Jun-23,Brittney,Rubio,Other,19-02-2002,001-234-517-2443x463,susanhickman@example.org,2502 Rollins Haven Apt. 823,Nicolestad,MO,10426,Sweden,Bachelor's Degree,9,94864.14,Research Director,Interviewing,"['Academic Publishing', 'Data Science', 'Research Management', 'Ethics & Compliance']"
1057,22-May-23,Kimberly,Ellis,Female,03-10-1982,(295)752-6970,barrerakathleen@example.com,321 Turner Mews,North Johnland,FM,59371,Western Sahara,Master's Degree,13,87952.33,Laboratory Technician,In Review,"['Time Management', 'Chemical Handling', 'Lab Safety', 'Data Entry', 'Sample Analysis', 'Attention to Detail']"
1058,12-Jun-23,Stephanie,Pearson,Other,01-03-1974,(992)890-3863x06405,williamschneider@example.org,01914 Sweeney Gateway Suite 775,North Stephen,WA,81142,Pakistan,PhD,7,94509.27,Healthcare Representative,Rejected,"['Patient Communication', 'Conflict Resolution', 'Time Management', 'Customer Service', 'Regulatory Compliance']"
1059,15-May-23,Judith,Avery,Male,01-05-1971,355.753.7118,vkelly@example.org,538 Schwartz Isle Suite 665,Kennethchester,NE,91284,Malaysia,PhD,8,67090.18,Sales Representative,Applied,"['Communication', 'CRM', 'Customer Service', 'Territory Management', 'Networking']"
1060,24-Jun-23,Susan,Mayer,Female,08-12-1987,001-867-245-0401x073,zmoore@example.com,1772 Adams Forges Suite 868,Staceyton,RI,52441,Palau,Master's Degree,14,33552.59,Manager,Applied,"['Conflict Resolution', 'Performance Reviews', 'Project Management', 'KPI Tracking', 'Cross-functional Collaboration', 'Budget Management']"
1061,12-Jun-23,Danielle,Jones,Female,28-07-1995,840.994.7602x3387,justinflores@example.net,18917 Adams Stravenue Suite 510,Johnsonmouth,WV,55005,Palau,Bachelor's Degree,14,35323.64,Healthcare Representative,Interviewing,"['Patient Communication', 'Time Management', 'Conflict Resolution', 'Regulatory Compliance']"
1062,25-Jun-23,Brian,Jenkins,Female,26-09-1994,575.503.5502,scottgriffin@example.net,0516 Norris Pine,New Julieville,TN,30491,Greece,Master's Degree,14,82806.6,Manufacturing Director,Applied,"['Six Sigma', 'Inventory Planning', 'Supply Chain Coordination', 'Operations Management']"
1063,03-Jul-23,Keith,Barrera,Female,03-05-2004,(679)765-0104x4925,scottkerr@example.org,62145 Collier Wells,Jasmineside,NE,99061,French Guiana,Master's Degree,0,40113.74,Research Scientist,Applied,"['Hypothesis Testing', 'Scientific Writing', 'Microscopy', 'Lab Safety', 'Experiment Design', 'Machine Learning']"
1064,07-Jun-23,Gary,Howard,Female,25-10-1999,001-851-640-7485,ehernandez@example.com,9683 Houston Alley,Lake Bobbytown,GU,92712,Egypt,Bachelor's Degree,14,63245.8,Sales Representative,Interviewing,"['Time Management', 'Networking', 'Communication', 'Product Knowledge', 'Upselling', 'Relationship Building']"
1065,11-Jun-23,David,Torres,Female,22-11-1978,+1-497-327-6445x750,rmiller@example.com,1557 Moore Mountains Apt. 077,Millertown,AK,62665,French Guiana,PhD,14,95411.82,Research Scientist,Interviewing,"['Python', 'Experiment Design', 'Lab Safety', 'Statistics']"
1066,07-Jun-23,Phillip,Weber,Other,12-04-1974,967-772-9630x71707,bryankey@example.com,743 Joseph Lakes Apt. 318,Francisburgh,PW,44194,Uzbekistan,Master's Degree,20,58671.8,Human Resources,Applied,"['People Analytics', 'Interviewing', 'Communication', 'Recruitment', 'Conflict Resolution', 'Payroll Processing']"
1067,02-Jun-23,Tiffany,Fernandez,Female,30-09-1967,001-294-200-8198x1467,iwoods@example.net,143 Sharp Walk Suite 116,Crystaltown,CT,61789,Liberia,High School,18,36020.54,Human Resources,Applied,"['HR Policies', 'Communication', 'Performance Appraisal', 'Interviewing', 'Payroll Processing', 'Onboarding']"
1068,14-Jun-23,Nicole,Lopez,Female,05-11-1983,738.330.1911,rachelgibson@example.com,00495 Tony Tunnel Suite 998,West Steven,PA,23700,Argentina,High School,20,33092.62,Manufacturing Director,Rejected,"['Six Sigma', 'Inventory Planning', 'Compliance Management', 'Process Improvement', 'Workforce Scheduling', 'Lean Manufacturing']"
1069,29-Jun-23,Joshua,Baxter,Other,28-09-1980,318-994-4925x9714,garzachristopher@example.org,363 Anita Park Suite 368,Maryville,NV,78394,Swaziland,Master's Degree,10,37140.47,Manufacturing Director,Offered,"['Compliance Management', 'Operations Management', 'Process Improvement', 'Inventory Planning', 'Lean Manufacturing', 'Six Sigma']"
1070,11-May-23,Danielle,Smith,Male,13-09-1975,(489)457-0950,mccarthymichelle@example.net,733 Barrett Isle Apt. 972,West Audreyburgh,GA,82437,Paraguay,High School,6,95676.14,Healthcare Representative,Applied,"['Empathy', 'Customer Service', 'Healthcare Knowledge', 'Time Management', 'Regulatory Compliance', 'Patient Communication']"
1071,13-May-23,Christopher,Davis,Female,10-07-2003,001-326-498-5989x16380,ajohnson@example.com,7385 Potter Knolls,Jesseview,ND,97049,Kenya,Master's Degree,13,54109.46,Healthcare Representative,Offered,"['Empathy', 'Patient Communication', 'Customer Service', 'Regulatory Compliance', 'CRM', 'Emotional Intelligence']"
1072,09-May-23,Jessica,Gutierrez,Male,12-07-1982,(409)790-6519,kristinalee@example.org,828 Watkins Landing Suite 952,South Ashlee,CA,89009,United Arab Emirates,High School,5,88944.93,Human Resources,Rejected,"['People Analytics', 'Employee Engagement', 'Performance Appraisal', 'Onboarding']"
1073,28-May-23,Michael,Hunter,Male,30-09-1977,(270)659-9314,reginald33@example.net,28037 Thomas Points,Johnmouth,OH,88615,Mauritania,Master's Degree,17,54055.25,Human Resources,Rejected,"['Performance Appraisal', 'Payroll Processing', 'Conflict Resolution', 'Recruitment']"
1074,27-May-23,Kendra,French,Male,22-04-2003,714.491.1762,garrett11@example.org,272 Wise Trail Suite 983,Lake Scott,NH,29705,Pakistan,PhD,4,54756.63,Research Scientist,Applied,"['Lab Safety', 'Python', 'Scientific Writing', 'Microscopy']"
1075,12-Jun-23,William,Yu,Female,26-09-1994,530.890.1950,enewton@example.net,547 Barnes Lake,Rodriguezmouth,DC,64425,Cyprus,Bachelor's Degree,18,57232.37,Research Scientist,Applied,"['Experiment Design', 'Lab Safety', 'Literature Review', 'Python', 'Scientific Writing', 'Data Analysis']"
1076,14-Jul-23,Carol,Steele,Female,17-06-1973,302.431.7018x403,fbrown@example.com,7282 John Shore,Port Daltonfurt,VI,23353,Cambodia,PhD,1,90276.12,Laboratory Technician,In Review,"['Chemical Handling', 'Microscopy', 'Time Management', 'Data Entry', 'Attention to Detail', 'Lab Safety']"
1077,05-Aug-23,Maria,Davidson,Female,08-02-1963,811-559-3449x539,billy13@example.net,1909 Strong Club Suite 173,Victorialand,MP,63150,China,High School,18,89892.0,Research Director,Interviewing,"['Data Science', 'Innovation', 'Academic Publishing', 'Strategic Planning', 'Machine Learning', 'Team Leadership']"
1078,09-Jul-23,Nicole,Garcia,Other,23-01-1966,+1-638-947-8496x65914,vincentdunn@example.net,5943 Kelly Drive,South Matthew,OK,33987,Hungary,PhD,20,65575.02,Human Resources,Offered,"['HR Policies', 'Payroll Processing', 'Conflict Resolution', 'Recruitment', 'Interviewing']"
1079,12-Jul-23,James,Howell,Female,20-06-1992,###############################################################################################################################################################################################################################################################,alecrandall@example.org,54234 Blevins Stream,West Phillipborough,AL,90671,Botswana,Bachelor's Degree,2,92135.46,Manufacturing Director,Rejected,"['Process Improvement', 'Workforce Scheduling', 'Budgeting', 'Supply Chain Coordination', 'Operations Management']"
1080,08-Jul-23,Keith,Pace,Male,05-12-1980,524.590.8180x24630,jessica90@example.com,5014 Cannon Oval,Port Sabrinamouth,MP,28027,Niue,Bachelor's Degree,18,37453.4,Research Director,In Review,"['Academic Publishing', 'Grant Writing', 'Machine Learning', 'Ethics & Compliance']"
1081,27-May-23,Nichole,Stevenson,Female,08-06-1999,(793)526-4040x463,diazrandall@example.net,061 Morris Views,Port Mike,KS,47133,Kiribati,PhD,0,51338.07,Sales Representative,Rejected,"['Relationship Building', 'Sales Presentations', 'Upselling', 'Customer Service', 'Territory Management']"
1082,17-Jul-23,Denise,Jackson,Male,26-11-1999,(674)278-2155x085,shannonhughes@example.net,0131 Gregory Corners Apt. 815,North Williamland,MN,1192,Niue,PhD,5,46331.6,Manufacturing Director,Applied,"['Process Improvement', 'Operations Management', 'Compliance Management', 'Lean Manufacturing']"
1083,28-Jun-23,Christine,Phillips,Male,03-09-1983,713-469-1059x479,jasmine35@example.net,41501 Wagner Parks Apt. 574,Sanchezbury,SC,34840,San Marino,High School,3,68558.44,Sales Executive,Offered,"['Salesforce', 'Customer Acquisition', 'Negotiation', 'Cold Calling', 'CRM Tools', 'Revenue Forecasting']"
1084,07-Jul-23,Patricia,Pearson,Other,12-06-1970,993.765.3738x529,burnsrobert@example.org,8328 Sandoval Canyon,Scottville,DE,96287,China,Bachelor's Degree,4,56332.62,Research Scientist,Offered,"['Scientific Writing', 'Machine Learning', 'Literature Review', 'Python']"
1085,28-Jun-23,Cynthia,Black,Other,25-02-1986,310-288-9663x946,ghenderson@example.com,962 Callahan Trafficway,Port Abigail,CA,19190,Estonia,High School,17,71506.9,Research Director,Rejected,"['Ethics & Compliance', 'Academic Publishing', 'Research Management', 'Machine Learning', 'Team Leadership', 'Grant Writing']"
1086,13-Jun-23,Brenda,Foster,Other,23-07-1989,996.678.2244x36399,lgomez@example.org,33076 Jennifer Rapid,Scottview,SD,64383,Ethiopia,High School,7,97605.13,Research Scientist,Interviewing,"['Data Analysis', 'Hypothesis Testing', 'Python', 'Microscopy', 'Experiment Design']"
1087,02-Jul-23,Holly,Brandt,Female,18-01-1965,001-292-782-6050x146,donald58@example.com,60255 Dodson Mills,East Victoria,ID,85507,Yemen,PhD,12,74372.98,Manufacturing Director,In Review,"['Operations Management', 'Six Sigma', 'Supply Chain Coordination', 'Process Improvement']"
1088,27-Jun-23,Erin,Kirk,Female,26-06-1974,323-678-0221x29319,rcook@example.com,311 Palmer Fords Apt. 610,North Jenniferfurt,PW,63501,Ukraine,PhD,4,94408.04,Research Director,Interviewing,"['Academic Publishing', 'Grant Writing', 'Ethics & Compliance', 'Machine Learning', 'Data Science', 'Strategic Planning']"
