Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,FirstName,LastName,skills
50,Yes,Travel_Rarely,869,Sales,3,2,Marketing,1,47,1,Male,86,2,1,Sales Representative,3,Married,2683,3810,1,Y,Yes,14,3,3,80,0,3,2,3,3,2,0,2,Kayden,Dodson,"[""Networking"",""Upselling"",""Sales Presentations"",""Relationship Building"",""CRM""]"
35,No,Travel_Rarely,890,Sales,2,3,Marketing,1,49,4,Female,97,3,1,Sales Representative,4,Married,2014,9687,1,Y,No,13,3,1,80,0,2,3,3,2,2,2,2,James,Duke,"[""Sales Presentations"",""Territory Management"",""Time Management"",""CRM"",""Customer Service"",""Networking""]"
36,No,Travel_Rarely,852,Research & Development,5,4,Life Sciences,1,51,2,Female,82,2,1,Research Scientist,1,Married,3419,13072,9,Y,Yes,14,3,4,80,1,6,3,4,1,1,0,0,Willow,Stuart,"[""Experiment Design"",""Machine Learning"",""Lab Safety"",""Microscopy"",""Scientific Writing""]"
33,No,Travel_Frequently,1141,Sales,1,3,Life Sciences,1,52,3,Female,42,4,2,Sales Executive,1,Married,5376,3193,2,Y,No,19,3,1,80,2,10,3,3,5,3,1,3,Clayton,Walker,"[""CRM Tools"",""Negotiation"",""Customer Acquisition"",""B2B Sales"",""Cold Calling""]"
31,No,Travel_Rarely,655,Research & Development,7,4,Life Sciences,1,76,4,Male,48,3,2,Laboratory Technician,4,Divorced,5915,9528,3,Y,No,22,4,4,80,1,10,3,2,7,7,1,7,Jaiden,Johnson,"[""Attention to Detail"",""Chemical Handling"",""Data Entry"",""Lab Safety"",""Equipment Handling"",""Sample Analysis""]"
37,No,Travel_Rarely,1115,Research & Development,1,4,Life Sciences,1,77,1,Male,51,2,2,Manufacturing Director,3,Divorced,5993,2689,1,Y,No,18,3,3,80,1,7,2,4,7,5,0,7,Brendon,Mcconnell,"[""Process Improvement"",""Budgeting"",""Inventory Planning"",""Compliance Management"",""Workforce Scheduling"",""Six Sigma""]"
32,No,Travel_Rarely,427,Research & Development,1,3,Medical,1,78,1,Male,33,3,2,Manufacturing Director,4,Married,6162,10877,1,Y,Yes,22,4,2,80,1,9,3,3,9,8,7,8,Kimora,Parsons,"[""Supply Chain Coordination"",""Process Improvement"",""Workforce Scheduling"",""Lean Manufacturing""]"
38,No,Travel_Frequently,653,Research & Development,29,5,Life Sciences,1,79,4,Female,50,3,2,Laboratory Technician,4,Single,2406,5456,1,Y,No,11,3,4,80,0,10,2,3,10,3,9,9,Willie,Patterson,"[""Attention to Detail"",""Standard Operating Procedures (SOP)"",""Time Management"",""Sample Analysis"",""Chemical Handling"",""Microscopy""]"
50,No,Travel_Rarely,989,Research & Development,7,2,Medical,1,80,2,Female,43,2,5,Research Director,3,Divorced,18740,16701,5,Y,Yes,12,3,4,80,1,29,2,2,27,3,13,8,Devyn,Powers,"[""Team Leadership"",""Innovation"",""Strategic Planning"",""Grant Writing"",""Ethics \u0026 Compliance"",""Machine Learning""]"
59,No,Travel_Rarely,1435,Sales,25,3,Life Sciences,1,81,1,Female,99,3,3,Sales Executive,1,Single,7637,2354,7,Y,No,11,3,4,80,0,28,3,2,21,16,7,9,Weston,Preston,"[""Cold Calling"",""Lead Scoring"",""Time Management"",""Negotiation"",""Salesforce"",""Customer Acquisition""]"
36,No,Travel_Rarely,1223,Research & Development,8,3,Technical Degree,1,83,3,Female,59,3,3,Healthcare Representative,3,Divorced,10096,8202,1,Y,No,13,3,2,80,3,17,2,3,17,14,12,8,Lennon,Buchanan,"[""Conflict Resolution"",""Regulatory Compliance"",""CRM"",""Patient Communication"",""Emotional Intelligence"",""Time Management""]"
55,No,Travel_Rarely,836,Research & Development,8,3,Medical,1,84,4,Female,33,3,4,Manager,3,Divorced,14756,19730,2,Y,Yes,14,3,3,80,3,21,2,3,5,0,0,2,Vicente,Merritt,"[""Conflict Resolution"",""Project Management"",""Team Management"",""Cross-functional Collaboration""]"
36,No,Travel_Frequently,1195,Research & Development,11,3,Life Sciences,1,85,2,Male,95,2,2,Manufacturing Director,2,Single,6499,22656,1,Y,No,13,3,3,80,0,6,3,3,6,5,0,3,Hugo,Clay,"[""Inventory Planning"",""Process Improvement"",""Lean Manufacturing"",""Operations Management""]"
36,No,Travel_Rarely,132,Research & Development,6,3,Life Sciences,1,97,2,Female,55,4,1,Laboratory Technician,4,Married,3038,22002,3,Y,No,12,3,2,80,0,5,3,3,1,0,0,0,Garrett,Zimmerman,"[""Chemical Handling"",""Lab Safety"",""Data Entry"",""Standard Operating Procedures (SOP)""]"
31,No,Travel_Rarely,746,Research & Development,8,4,Life Sciences,1,98,3,Female,61,3,2,Manufacturing Director,4,Single,4424,20682,1,Y,No,23,4,4,80,0,11,2,3,11,7,1,8,Eugene,Marks,"[""Workforce Scheduling"",""Process Improvement"",""Inventory Planning"",""Lean Manufacturing""]"
35,No,Travel_Rarely,776,Sales,1,4,Marketing,1,100,3,Male,32,2,2,Sales Executive,1,Single,4312,23016,0,Y,No,14,3,2,80,0,16,2,3,15,13,2,8,Geovanni,Pugh,"[""Customer Acquisition"",""Revenue Forecasting"",""B2B Sales"",""Presentation Skills"",""Negotiation""]"
45,No,Travel_Rarely,193,Research & Development,6,4,Other,1,101,4,Male,52,3,3,Research Director,1,Married,13245,15067,4,Y,Yes,14,3,2,80,0,17,3,4,0,0,0,0,Javon,Kelley,"[""Ethics \u0026 Compliance"",""Data Science"",""Machine Learning"",""Research Management"",""Team Leadership"",""Strategic Planning""]"
37,No,Travel_Rarely,397,Research & Development,7,4,Medical,1,102,1,Male,30,3,3,Research Director,3,Single,13664,25258,4,Y,No,13,3,1,80,0,16,3,4,5,2,0,2,Amaya,Hicks,"[""Machine Learning"",""Academic Publishing"",""Strategic Planning"",""Team Leadership"",""Data Science"",""Ethics \u0026 Compliance""]"
46,No,Travel_Rarely,945,Human Resources,5,2,Medical,1,103,2,Male,80,3,2,Human Resources,2,Divorced,5021,10425,8,Y,Yes,22,4,4,80,1,16,2,3,4,2,0,2,Laila,Woodard,"[""Performance Appraisal"",""HR Policies"",""Communication"",""Onboarding""]"
30,No,Travel_Rarely,852,Research & Development,1,1,Life Sciences,1,104,4,Male,55,2,2,Laboratory Technician,4,Married,5126,15998,1,Y,Yes,12,3,3,80,2,10,1,2,10,8,3,0,Ivan,Huff,"[""Chemical Handling"",""Data Entry"",""Equipment Handling"",""Sample Analysis""]"
35,No,Travel_Rarely,1214,Research & Development,1,3,Medical,1,105,2,Male,30,2,1,Research Scientist,3,Single,2859,26278,1,Y,No,18,3,1,80,0,6,3,3,6,4,0,4,Aidan,Harding,"[""Literature Review"",""Machine Learning"",""Microscopy"",""Statistics"",""Data Analysis""]"
55,No,Travel_Rarely,111,Sales,1,2,Life Sciences,1,106,1,Male,70,3,3,Sales Executive,4,Married,10239,18092,3,Y,No,14,3,4,80,1,24,4,3,1,0,1,0,Cruz,Boyer,"[""Salesforce"",""Presentation Skills"",""Lead Scoring"",""Negotiation""]"
38,No,Non-Travel,573,Research & Development,6,3,Medical,1,107,2,Female,79,1,2,Research Scientist,4,Divorced,5329,15717,7,Y,Yes,12,3,4,80,3,17,3,3,13,11,1,9,Raven,Koch,"[""Scientific Writing"",""Lab Safety"",""Literature Review"",""Data Analysis"",""Machine Learning""]"
59,No,Travel_Frequently,1225,Sales,1,1,Life Sciences,1,91,1,Female,57,2,2,Sales Executive,3,Single,5473,24668,7,Y,No,11,3,4,80,0,20,2,2,4,3,1,3,Graham,Rodriguez,"[""Cold Calling"",""B2B Sales"",""Lead Scoring"",""Salesforce"",""CRM Tools""]"
56,No,Travel_Rarely,1400,Research & Development,7,3,Life Sciences,1,112,4,Male,49,1,3,Manufacturing Director,4,Single,7260,21698,4,Y,No,11,3,1,80,0,37,3,2,6,4,0,2,Tyrone,Sosa,"[""Workforce Scheduling"",""Six Sigma"",""Supply Chain Coordination"",""Operations Management""]"
23,No,Travel_Rarely,541,Sales,2,1,Technical Degree,1,113,3,Male,62,3,1,Sales Representative,1,Divorced,2322,9518,3,Y,No,13,3,3,80,1,3,3,3,0,0,0,0,Damaris,Cisneros,"[""Relationship Building"",""CRM"",""Communication"",""Sales Presentations"",""Territory Management"",""Upselling""]"
36,Yes,Travel_Rarely,318,Research & Development,9,3,Medical,1,90,4,Male,79,2,1,Research Scientist,3,Married,3388,21777,0,Y,Yes,17,3,1,80,1,2,0,2,1,0,0,0,Aspen,Bentley,"[""Statistics"",""Machine Learning"",""Hypothesis Testing"",""Microscopy"",""Scientific Writing"",""Data Analysis""]"
35,No,Travel_Frequently,664,Research & Development,1,3,Medical,1,88,2,Male,79,3,1,Research Scientist,1,Married,2194,5868,4,Y,No,13,3,4,80,1,5,2,2,3,2,1,2,Tia,Ellis,"[""Lab Safety"",""Scientific Writing"",""Python"",""Hypothesis Testing""]"
46,Yes,Travel_Rarely,669,Sales,9,2,Medical,1,118,3,Male,64,2,3,Sales Executive,4,Single,9619,13596,1,Y,No,16,3,4,80,0,9,3,3,9,8,4,7,Deborah,Love,"[""Customer Acquisition"",""Lead Scoring"",""B2B Sales"",""Time Management"",""Cold Calling"",""CRM Tools""]"
40,No,Travel_Frequently,530,Research & Development,1,4,Life Sciences,1,119,3,Male,78,2,4,Healthcare Representative,2,Married,13503,14115,1,Y,No,22,4,4,80,1,22,3,2,22,3,11,11,Milagros,Francis,"[""Healthcare Knowledge"",""Empathy"",""CRM"",""Customer Service"",""Emotional Intelligence""]"
